status,aircraft,travel_type,travel_class,route,date,seating_comfort,staff_service,food_quality,entertainment,wifi,ground_service,value_for_money,recommended,overall_rating,review
✅ Trip Verified ,,Family Leisure,Economy Class,Denver to San Antonio,March 2022,3.0,1.0,,,,4.0,1,no,1,"  They charge for everything and aren’t any cheaper than Southwest. If you are in rows 2 & 3 they don’t let you put your bags above your seat because they reserve for the 1st row so you have to put them above row 3. However, after boarding starts they allow people to take the space above 2&3 that are sitting farther back. It’s absolutely ridiculous."
Not Verified ,,Family Leisure,Economy Class,St. Louis to Cancun,March 2022,2.0,2.0,,1.0,1.0,1.0,1,no,1,  Very rough. First our flight was delayed and the poor flight attendants weren’t even made aware before passengers. Then they told us our flight was at a new gate and that gate told us our flight was not there and sent us back. We have a full flight and our giant group had to go move back and forth between the gates. They told us to line up to board and then didn’t board for an hour. Next time we’ll just take a connecting flight instead. Also I think they delayed the flight again and didn’t tell us because it took us a suspiciously long time to board.
Not Verified ,,Family Leisure,Economy Class,Houston to Orlando,March 2022,,,,,,1.0,1,no,1,  Worst airline ever. Had a 6 a.m. flight that we had to wake up at 1:00 to catch a 3:00 am bus and we checked in at the airport and got through security check to find out that our flight was canceled. We travelled with kids and everyone was exhausted from a trip. We were not notified of the change until our boarding time. And no one was willing to tell us the reason of our cancellation.
Not Verified ,,Family Leisure,Economy Class,Milwaukee to Las Vegas,March 2022,1.0,1.0,,,,1.0,1,no,1," Milwaukee to Las Vegas. Worst airline ever. They canceled both our flight back from our destination and to our destination. The flight back was canceled weeks in advance which ok whatever, we decided to go with Southwest our way back because the only option they Frontier gave us was a different day at a different airport with no transportation back to our cars. Today, we were supposed to fly out and got an email a few hours before while we were already on our way - it’s a 2 hour drive - and was told sorry they plane is canceled, no reasons why. I have no trust in this airline and looking at the other reviews, it almost seems like a good thing they were canceled. Never again! Don’t get your hopes up with this company."
✅ Trip Verified ,,Solo Leisure,Economy Class,Orlando to LaGuardia,March 2022,2.0,2.0,,,,2.0,1,no,1,  This is the most unorganized flight I’ve ever had. I’ve had Spirit flights go more smooth than my frontier one. My first flight was cancelled so I had to leave a day late and change airports to be able to make it back to work in time. My new flight left today and now they keep getting delayed and today they pushed it back an hour just to cancel the delay so I had to rush here when I live 2 hours away. I make it to my gate in time and then 10 minutes before boarding they delay it 3 more hours and change the gate. If they set a time and have a full plane then they should be able to organize their trips enough to know what the hell is going on and follow a schedule.
Not Verified ,,Business,Economy Class,Fort Lauderdale to Atlanta,March 2022,2.0,3.0,,,,5.0,1,no,1,"  When Frontier flight #1363 from Fort Lauderdale to Atlanta landed on March 12th, 2022 and reached the jet bridge a flight attendant called into the intercom: “Everyone run as fast as you can to the front of the plane.” I thought she was joking but then the pilot came on the intercom and yelled “Leave all your belongings behind and run to the front of the plane. Now! Go! Go!” Panic ensued. I was in row 27A at the back of the plane. There were six people per row in front of me with nearly the entire plane still aboard who could not possibly fit into the aisle and run at once without trampling one another. Passengers started yelling, “Run, Run!” No one from Frontier explained what the danger was or tried to calm us. When I finally arrived to the jet bridge, crying and with my heart beating out of my chest, I overheard a flight attendant say that the plane’s weight was unbalanced and that the airplane may tip over. After flying extensively for the last 40 years, I would not recommend Frontier Airlines to my family, friends or business associates."
✅ Trip Verified ,,Couple Leisure,Economy Class,Reno to Las Vegas,March 2022,1.0,2.0,,,,5.0,3,no,2," This is by far the worst domestic airline I have ever flown. Let's start with the fact that we landed at 10.30 pm. They finally unloaded our bags at 12.15 pm. No announcements by the airline, no information, no nothing. Flights that came in after ours on other airlines got their bags promptly. Frontier totally ignored its customers. Then there's the nickel-and-diming for everything. You want coffee. There's a charge. You want a snack. Charge. Anything and everything was an additional charge. About the only things they don't charge for, yet, are air and the bathroom although you might bring quarters just in case. Now the latest scam. Every other airline a suitcase can weigh up to 50 lbs. Not Frontier. Their newest rule is 40 lbs maximum or you are surcharged for an overweight bag. As to the seats, this is a cattle car, no room at all, no padding in seats, etc. Not comfortable. I will say that the check in procedure was efficient, and the people were nice. Unfortunately, this airline has a proclivity to annoy its passengers, and that carried over to the interactions between flight attendants and passengers. All in all: Avoid this airline if you can do so."
✅ Trip Verified ,,Family Leisure,Economy Class,San Juan to Chicago,March 2022,1.0,3.0,,,,4.0,3,no,4,  I do not recommend Frontier Airlines. The seats were terribly uncomfortable. We were delayed by about 45 minutes due to them overbooking the flight. The ride was smooth but other than that I do not recommend it.
✅ Trip Verified ,,Solo Leisure,Economy Class,Tampa to New York,March 2022,1.0,2.0,1.0,1.0,,1.0,2,no,2,"  Hugely disgusted and disappointed with this airline -they nickel & dime every part of the flight. Luggage charged including carryons, seats, and checkin limited to 40kgs? And then on top of it the aircraft had no tv, no usb chargers, tiny seats and the flight was not even that cheap!  It’s an insult to airline travel. I miss the days of decent air travel with respectable food options and luggage being treated like humans not cattle. Would happily pay more for better service. Never again. Low class, low service!"
Not Verified ,,Family Leisure,Economy Class,Rochester to Orlando,March 2022,,,,,,1.0,1,no,1,"  Wife had booked a return flight on Saturday 3/12. The flight was canceled due to weather (understandable) but the problem arose as her the only option they offered. (3) days later Monday at 8:30 PM at night, They than delayed the flight to leave at 10:30 PM. She was sent another text stating the flight was again delayed til 12:30 AM Tuesday morning now 4 days late. Than they canceled the flight again! We are now flying JetBlue! No compensation was offered by Frontier. Frontier should be ashamed of themselves, they are a disaster. It's all about the money where they nickel & dime everyone to death. Any other reasonable airline would have offered a next day flight. even if it was on another airline."
Not Verified ,,Couple Leisure,Economy Class,Boston to Orlando,March 2022,,,,,,1.0,1,no,1,"  I am writing to you as we sit in a lobby of a hotel we booked at 8am this morning, waiting for our room to become available.. but I need to express my grievance with your airline. We had a 6am flight from Orlando to Boston. We arrived 2 hours ahead (as your site advises) to find the line to check in a mile long. We wanted to check in online but you had zero option to do this with military bags. We were advised by your employee to get into the checked bag line to avoid the $68 checked bag fee. We waited in line an hour and a half only to be told we missed our check in by 5 minutes.  And there was nothing you would do for us and directed us to the missed flight line. We stood in this line another 20-30 minutes and made it to the front where another one of your employees told the 100 or so people in this line to ""form another line over there."" We watched as everyone behind us was now in front of us. Where we waited another hour. We watched as this line became longer and longer with people in our exact situation. We had over a third of our flight to Boston miss their flights alone. The people in the ""missed flights"" line was just Frontier customers and this extended all the way down the entire airport. There was well over 500 people in this line by the time we got to the teller. More as we leave the airport. When we finally get to speak to the teller, our only option is waiting until Wednesday to fly out with frontier OR get a refund and try to rebook today. We originally paid 660 dollars for our flight round trip and was given an $88 refund. . No other compensation in any other form. With no other flights leaving today that we could get on. The earliest and least expensive option for us was tomorrow at 8am. Now this is what we are financially out because of this ... 600 for 2 new ONE WAY flights for tomorrow. 200 for a hotel for tonight. 100 to board my dog an additional night. 50 for our car to continue to sit at Logan airport. Money lost with our jobs because we can't make it to work Tuesday. Then misc for food. Not to mention we are struck trying to find someone to assist with our kids for an addition 24 hours. Plus the hassle and headache. I am so utterly disgusted by the lack of customer service and disorganization to your airline. I will never, in my life, fly with Frontier Airlines again and will suggest others to avoid it as well until you make this right. And to think we are only a few people this happened to today. "
Not Verified ,,Solo Leisure,Economy Class,Cancun to Orlando ,March 2022,2.0,5.0,1.0,,,1.0,1,no,1,"  Every thing about this experience with this airline was horrible and I will never fly with them again. So to start I show up at the airport almost 3 hours early only to almost miss my flight. Frontier booked 4 different flights out of Cancun all for the same time Dallas, Boston, Orlando, and I forget the last one. What did that do, it put about 600 people all in line at the exact same time with only 4 or 5 people checking in everyone. So even though I arrived 3 hours prior as instructed I barely made it to the flight. Then after boarding we sat on the runway for 1hr so we arrived in Orlando 1 hr late even though we boarded on time. After all of this I was just exhausted and ready to collect my bag and drive home just to find out they've lost the bag that they charged me 75.00 dollars to check with no explanation as to where my bag is and the Frontier employees said they have no way to see if it even left Cancun. Inside my bag not only did I lose all my personal belonging such as clothes and shoes but I lost souvenirs from 4 different countries that I cant just turn around and go back and get more. I tried to call Frontier as soon as I left the airport only to sit on hold for over 1 hr and no one ever answered till finally I hung up. I travel a lot and I will never use this airline again ever. There isnt one thing about them that is efficient or comfortable."
✅ Trip Verified ,,Business,Economy Class,Las Vegas to Denver,March 2022,1.0,5.0,1.0,,,1.0,1,no,1," This was my worst traveling experience, too much happened but I will only review the overpayment. My boarding pass clearly states for a 50lb bag because it said on the pass the following: ""Your bags were purchased prior to our new bag weight limits. You are entitled to a 50lbs checked-bag limit.” However they charged me for a 45lb bag in Vegas. I noticed this after I paid. When I arrived in CO I spoke to an agent who stated I would be refunded when I arrived home to DC. Spoke to a rude agent in DC who refused to refund me, she said “Well why did you give them your card? You noticed after? Well it’s too late now I can’t refund you!” And turned away! This is crazy! You can’t play with people’s money $50 is a tank of gas and I want my refund. I tried calling them over and over and each time I got someone they hung up. All that money for an un-reclinable, hard seat with no room! Then they want to cheat you too?"
✅ Trip Verified ,,Couple Leisure,Economy Class,Orlando to Memphis ,March 2022,1.0,3.0,,,,2.0,1,no,1," Absolutely worst experience, our flight was supposed to leave at 5.51, we were delayed and did not leave until 8.54, we sat on the tarmac for 15 minutes before getting in the air, once we arrived in Memphis we sat on the runway for 20 minutes before finally taxiing to the gate. By the time all the passengers got off the plane we were over 3 hours behind which we missed our reservations that we had (mind you we pre-paid) so we lost our deposit. Thanks Frontier I will never fly with you again."
Not Verified ,,Solo Leisure,Economy Class,Denver to San Francisco,March 2022,1.0,1.0,1.0,1.0,1.0,1.0,1,no,1,  Just canceled the flight at the last minute without any alternative flights. Now I can’t get to my destination and interview thanks to Frontier. Most unprofessional airline. Never going to fly with them!
Not Verified ,,Family Leisure,Premium Economy,Tampa to Denver,March 2022,1.0,1.0,,,,1.0,1,no,1,"  I decided to give Frontier another chance after prior bad experiences. No doubt, Frontier is the worst and most unreliable airline on planet earth. After nickel and diming for everything (no checked bag, then let us charge you for a carry on, oh you want a seat assignment, let's charge for that too), they seem to consistently suffer ""bad luck"" beyond their control. They apparently couldn't predict that they would be unable to deliver a suitable airplane to our location in advance and subjected us to a series of seemingly ""uncertain"" announcements regarding their hope of producing and aircraft. One delay, two, delays, three delays, simply put, they did not deliver what we paid them to provide. Then we are offered a voucher that doesn't pay for the inconvenience, but can only be used to suffer their incompetence and discourtesy again at a future date. No thanks."
Not Verified ,,Solo Leisure,Economy Class,Islip to Orlando,March 2022,1.0,1.0,1.0,1.0,1.0,1.0,1,no,1,"  I have flown nearly every major airline and this one by far is the worst ever. Even the Long Island railroad has a better on time performance. I have never seen such horrible, horrible service, they don't deserve to even be in business. Not only is it not cheap but everything is extra, bags, carry-on. There is no TVs in the seats, no drinks, no snacks. If you want to buy that 1$ bag of chips your going to spend 5$ and beer is 10$ and a small alcohol is 10. My plane was delayed an hour. It came in exactly an hour late and departed 2.5 hours later! Zero announcements. Chaos at the gate."
Not Verified ,,Family Leisure,Economy Class,Orlando to Cedar Rapids,March 2022,1.0,1.0,,,,1.0,1,no,1, Orlando to Cedar Rapids. This is the worst airline I have ever dealt with. They charge $50 for a carry on plus another $50 for a check bag that cannot weigh more than 40lbs. Then they cancelled our flight at the last minute and did absolutely nothing to find a way home or assist in finding a place to stay the night. Plus the reimbursement they are offering doesn't cover the hotel room or the additional cost of another flight. Absolutely terrible customer service.
✅ Trip Verified ,,Business,Economy Class,Orlando to Cincinatti,March 2022,1.0,1.0,1.0,1.0,1.0,1.0,1,no,1,  Honestly this is the worst flight experience I have ever had. It made me believe I was saving but they make you pay for bags over 40. Carry ons as well and it ended up being more expensive. The flights are so uncomfortable. Both mine were behind. The staff were rude to other passengers and I could literally hear them talking poorly about people on my way home.  I will never fly with them again.
Not Verified ,,Couple Leisure,Economy Class,Cleveland to Orlando,March 2022,1.0,1.0,1.0,,,1.0,3,no,3,"  Flight from Cleveland to Orlando, everything fine until we landed, sat on plane for 55 minutes waiting for the jet bridge to arrive to unload plane. Not sure where who is responsible airline or the airport."
Not Verified ,,Couple Leisure,Economy Class,Orlando to Boston,March 2022,1.0,1.0,1.0,1.0,1.0,1.0,1,no,1,  Canceled our flight with no alternative for 2 days! Ticket prices tripled and can’t afford to get home. Now we are stuck with no money or place to stay. Very upset.
✅ Trip Verified ,,Couple Leisure,Economy Class,Orlando to Grad Rapids,March 2022,1.0,1.0,1.0,,,2.0,1,no,1,"  Delay after delay. Spent 45 minutes circling over the ocean and ran low of fuel. We had to be rerouted to a different airport and sit on the runway for an hour before we could get back in the air to reach our destination. What was supposed to be a two hour flight ended up being a six hour flight and the staff was not communicating how long the delays were going to take. I paid extra to have some more leg room but the seat was very uncomfortable, don’t waste your money. They also charge you extra for literally everything. Will never use this airline again."
✅ Trip Verified ,,Family Leisure,Economy Class,Orlando to Norfolk ,March 2022,1.0,1.0,,,,1.0,1,no,1," Frontier is the worst, stay far away from this airline, they cancel our flight with no options except for to rent a car to drive from Orlando to Virginia and we are a family of 4 with 2 children. The only reason I gave them a 1/10 is because the system wouldn't allow me to rate them at a zero otherwise that's what I'd give them."
Not Verified ,,Family Leisure,Economy Class,Orlando to Memphis,March 2022,1.0,1.0,,,,1.0,1,no,1,  By far the very worst airline. There is zero customer service. Our flight was cancelled 10 minutes prior to boarding. Our entire spring break vacation was ruined. The airline ONLY offered a refund for the amount I paid. No other form of compensation. They simply do not care about their passengers. I will not fly frontier again.
✅ Trip Verified ,,Solo Leisure,Economy Class,Dallas Ft Worth to Miami,March 2022,1.0,1.0,,,,1.0,1,no,1,"  Please for your own good listen to the reviews and do not fly with them, they would really ruin your vacations. Words aren't enough to describe how outraged I am by all this mess."
Not Verified ,,Solo Leisure,Economy Class,San Juan to Santo Domingo,February 2022,1.0,1.0,,,,1.0,1,no,1,"  Worst airline ever! I flew on Frontier Airlines with a surfboard. I paid the highest transport costs ever for the short-haul flight. The airline damaged my surfboard on the flight. They refuse to pay for the damage. The people have absolutely no knowledge about things they transport, they are customer unfriendly, they charge outrageous prices for surfboards and the luggage staff are rough on luggage."
✅ Trip Verified ,,Solo Leisure,Economy Class,Fort Lauderdale to Orlando,March 2022,3.0,3.0,,,,3.0,1,no,1,"  Flight arrived 2 hours late and I missed my connecting flight. Now, I have paid for 2 flights and another that I missed as well as a night at a hotel because of them."
✅ Trip Verified ,,Family Leisure,Economy Class,Denver to Atlanta,February 2022,1.0,1.0,1.0,1.0,1.0,1.0,1,no,1,  Horrible company.  I originally checked my car seat stroller at the gate. Once we arrived in Atlanta they said they were short staffed so the sent my car seat and stroller through the baggage claim which took 2 hours. My stroller got stuck in the door of the oversized baggage and I took pictures and called. The customer service supervisor said to wait until they called me back which made no sense to me. I called for a week straight and even uploaded the pictures only to get an email saying I did not report the issue within 4 hours. Waste of money. Do not fly with them.
✅ Trip Verified ,,Solo Leisure,Economy Class,Grand Rapids to Orlando,February 2022,5.0,5.0,5.0,,5.0,5.0,5,yes,10,"  This was my 6th time flying with Frontier. I have had great experiences! Even when I had to change flight days, they were wonderful at helping me. I love Frontier Airlines and the crew!"
✅ Trip Verified ,,Family Leisure,Economy Class,Fort Lauderdale to Buffalo,March 2022,3.0,2.0,,,,1.0,1,no,1," We booked round trip flights. When we left Buffalo we had bags weighing between 40 and 50lbs not over 50 which was the max weight included in the bags we had to purchase. On our return flight one week later they said when we were at the check in counter we must pay an additional 50.00 per bag as there policy changed in the week we were away and that we can not only have bags weighing 40lbs. The service rep at the counter was very rude and yelling at us and told us it was our fault we needed to check the website, it is not their job to email us any changes. Our flight was also delayed 3 hours going to Florida and 1 hour on the return. When we asked why it was delayed on the return flight the agent told us I don’t know don’t ask me again. There was no communication with the passengers. Very poor customer service. I chatted with a rep online when I got home and explained the situation and she said in writing it’s fine we do not mind if you are not satisfied just don’t fly with us again."
✅ Trip Verified ,,Solo Leisure,Economy Class,Ft Lauderdale to orlando,March 2022,,,,,,1.0,1,no,1,  I wish I could give them a zero rating! Terrible airline. Our flight was unexpectedly canceled after over an hour delay. No explanation was given as to why it was delayed. Then they told us we had to wait in a line for a refund that didn’t move for over an hour. Employees were terrible and no help. Impossible to get anyone on the phone. Last time I’ll ever book with Frontier.
✅ Trip Verified ,,Couple Leisure,Economy Class,Fort Myers to Grand Rapids,March 2022,1.0,4.0,,,,1.0,1,no,1," My husband and I had a horrible experience with Frontier. I waited in a line for over an hour to have my bag checked. Then once I made it to the front of the line, they started asking passengers behind us to come check their bags before us. We missed our flight due to this. Then when I asked for assistance to book another flight home, they said they couldn’t help me because they had to help the other customers. We ended up flying with American Airlines which I highly recommend over Frontier. Oh and don’t bother sending in a complaint, because their customer service reps have no clue how to read or how assist unhappy customers. Also, don’t purchase their travel insurance. That only counts if you have Covid or die apparently."
✅ Trip Verified ,,Family Leisure,Economy Class,Providence to Orlando,March 2022,,,,,,1.0,1,no,1,"  Worst experience I have ever had with a airline. I showed up at Orlando Airport for our flight home, they have us clocked in for 5:48am we got sent to a machine to print out bag slips and machine told me to go to customer service desk, so I do and then get sent back to machine again machine tells me to go to the desk. I explained to woman controlling the line so she sent me to more help desk. Oh that was awful he said I can't help you, you have to get in that line I explained to him 4 times that the woman sent me to you then he huffed and said you're too late, I was in shock to late my flight is 8:18 am I was here at 5:48 am - he put his hand up and said too bad and called next in line. I had to purchase tickets from Jetblue to get my family home for another thousand dollars after I had already purchased my tickets from Frontier and they offered me nothing but a good luck. "
✅ Trip Verified ,,Family Leisure,Economy Class,Rochester to Orlando,March 2022,1.0,1.0,,,,1.0,1,no,1," I can't really say enough negative things about my experience with Frontier. We purchased ""The Works"" package so that we had flexibility with our flights. Frontier cancelled one of the flights that we had booked, so we were forced to change our flights to a new date. Frontier then cancelled the new flights, and we requested a refund. They would not refund the $1,000+ for ""The Works"" package because we had ""used up"" the free flight change fees the first time we had to change the flights. This was in addition to them charging $1,000 extra on the new flights when we had to change them. ""The Works"" package only eliminates the change fees but the new flights still cost way more. Absolutely horrible experience and I will never fly Frontier nor recommend anyone fly with them."
Not Verified ,,Family Leisure,Economy Class,Orlando to Baltimore Washington,March 2022,,,,,,,1,no,1,"  We had a family member take a turn for the worse. We booked a set of flights in the evening to leave midday the following day to go and see the family member. When we woke up this morning, we got the news that the family member passed away in the night. We no longer needed to go and see the family member and would be getting different tickets once funeral arrangements were made. I called Frontier to see about cancelling and getting a refund for the 3 tickets I had purchased. I was informed that they would need a copy of the death certificate and the cancellation fee would be approximately half the cost of the original ticket. The remaining value could then be transferred into flight credit. It is really difficult to even know where to begin. Since when his cancellation of a service some sort of legal issue? There is no reason they need or have a right to the death certificate. The fee for cancelling is ridiculous!  I hope they get good use out of the cost of 3 tickets. I will no longer be using this airline."
Not Verified ,,Solo Leisure,Economy Class,Las Vegas to Detroit,March 2022,1.0,1.0,1.0,,,1.0,1,no,1,"  Boarding time 1044, departure time 1130. We weren’t allowed on the plan until 12am, no announcement of any type to let passengers know what is going on. The screen said the flight was departed & we were all definitely still waiting to board the flight. After we boarded the plan we sat for another additional 30+ minutes without again any announcement to what’s delaying the flight or even a flight attendant is sight. They left urge whole plane sitting around, confused with tempers rising. Just save yourself some peace and book with another airline."
✅ Trip Verified ,,Solo Leisure,Economy Class,Fort Lauderdale to Orlando,March 2022,1.0,1.0,1.0,1.0,1.0,1.0,1,no,1,"  I had the worst experience, my flight was at 2:35 pm and they said is delayed for 4:20 pm, then they said it got delayed for 6:30 and alter on the same thing, after 3 hours of waiting, they said that It got canceled, that we have to go to claim our luggage and get refund. So I go to get my luggage and it was never there so I speak with a Frontier agent and she said that the plane is just delayed for 10:30pm, for this cause they said it was canceled. I immediately got another flight cause I really needed to get to Orlando today, it was just a mess, the plane left at midnight I was exhausted and a bunch of people were angry on the plane, terrible service, worst experience ever."
Not Verified ,,Family Leisure,Economy Class,Orlando to Denver,March 2022,1.0,3.0,1.0,,,1.0,1,no,2,"  This was the worst experience I’ve ever had with an airline. We get to the airport 2.5 hours before our flight. We checked in online and picked our seats so that was done ahead of time. The baggage check in at Orlando was so insane. It took us over an hour just to get that done! And the confusion on where to go was just unacceptable. When we got to the front of the line, we realized why it was taking so long. They had 2 employees at the counter!  And there were many flights flying out around the time we were so there were a few hundred people in two separate lines trying to get baggage check. I saw more than one person get turned away by the time they got to the front because they were going to miss their flight. One lady told me she had been in that line for a couple of hours. It was a real shame. And then security took about 45 minutes. So between those we would have missed our flight, but then the flight was delayed for over an hour. So while that didn’t matter to us, it’s definitely not ok with a lot of the passengers. Not to mention, our flight there was also horrendous. There was a drunk man refusing to wear a mask and they attempted to reason with him for way to long. We all had to get off the plane so that the police could escort him off. Overall, that whole thing made take off about about 3 hours delayed and multiple people missed their connecting flights. I do have to say that the flight attendants seemed to be trying their best on the flights, but you can’t let every flight and the check ins be like this. It’s so unprofessional."
Not Verified ,,Family Leisure,Premium Economy,Tampa to Rochester,March 2022,2.0,1.0,1.0,1.0,1.0,1.0,1,no,1,"  Worst airline! My flights have been canceled on a couple of different occasions. Today it was delayed several times and then the pilot told the whole plane that if the mechanical issues weren't resolved then we would be provided another plane the same day. Well that didn't happen, once again another empty customer service promise. "
Not Verified ,,Family Leisure,Economy Class,San Antonio to Las Vegas,March 2022,1.0,1.0,1.0,1.0,1.0,1.0,1,no,1,"  Terrible airline, it looks cheap but will charge you lots for seats and luggage, both check in and carry on. it will ruin your vacation too. My flight was delayed three times and then cancelled on the same day. Hundreds of dollars wasted on entertainment and show tickets for our Vegas Flight. Don't do it. It's not worth it."
Not Verified ,,Family Leisure,Economy Class,Orlando to Claremont ,March 2022,,,,,,,1,no,1,"  Worst experience I have ever had with a airline. I showed up at Orlando Airport for our flight home, they have us clocked in for 5:48am we got sent to a machine to print out bag slips and machine told me to go to customer service desk, so I do and then get sent back to machine again machine tells me to go to the desk. I explained to woman controlling the line so she sent me to more help desk. Oh that was awful he said I can't help you, you have to get in that line I explained to him 4 times that the woman sent me to you then he huffed and said your too late, I was in shock to late my flight is 8:18 am I was here at 5:48 am. He put his hand up and said to bad and called next in line. I had to purchase tickets from Jetblue to get my family home for another thousand dollars after I had already purchased my tickets from Frontier. I have sent in complaint and demand a refund and still nothing. "
Not Verified ,,Couple Leisure,Economy Class,Cleveland to Saint Martin,March 2022,,,,,,,1,no,1,"  The worst service I’ve ever experienced. Received a text that our flight would be delayed 7 hours, which would’ve caused us to miss our connecting flight. Customer service provided us no solutions except for a refund for the flight. Luckily our hotel was accommodating with changing dates. Had to fly with a different airline out of a different city. Will never fly with Frontier again, nor should anyone going international."
Not Verified ,,Family Leisure,Economy Class,Orlando to Miami,March 2022,1.0,1.0,1.0,1.0,1.0,1.0,1,no,1,"  This has to be the worst airline ever!! Flight was scheduled for 10 pm. It was initially delayed 45 minutes, then 1 hours 30 minutes, then 2 hours 15 minutes to 12:29am! Then they sent another alert saying you will actually be leaving at 11 pm instead of 12:29am (delayed time). Only for us to get there early enough to catch the 11 pm flight, to only be delayed again until 1215am! Flights are super cheap for a reason, service definitely sucks. I would not recommend any one EVER use this so called airline, especially if you have an actual schedule you’re trying to stick to. Not to mention they completely overbooked the previous flight by 40 people! And everyone had to get moved to this trash flight that kept getting delayed. Just horrible all around."
Not Verified ,,Solo Leisure,Economy Class,,March 2022,,,,,,,1,no,1,"  Very bad service for first-time flyers. Paid over $400 for a round trip could not get a refund after making the reservation less than 24 hours that I had to cancel. Did not want to add credit to my airline, did not want to give me my money back, very bad service on the phone, they rush you off the phone."
Not Verified ,,Solo Leisure,Economy Class,Fort Lauderdale to Atlanta,March 2022,1.0,1.0,,,,1.0,1,no,1,  Fort Lauderdale to Atlanta. In my opinion and my experience Frontier Airlines are the worst! They make Spirit look like royalty. I purchased two tickets to go to Atlanta but 5 mins later I had to cancel. My cancellation fees cost more than the two tickets. How does that make or meet any kind of logic. I have never flown Frontier this would have been my first time but I’m just going to with the flow and never booking with them. At least Spirit give you a credit. Frontier Airlines shouldn’t be allowed to fly!
✅ Trip Verified ,,Family Leisure,Economy Class,Cancun to Boston,February 2022,1.0,1.0,,,,1.0,1,no,1, Stay away from this airline. Worst experience I’ve ever had. My luggage has been lost for 5 days and they keep giving me the runaround to find it. No communication and not helpful at all. This is just one of the various complaints that I have. Upon arrival we had to sit in the plane for 1 hr waiting for people to arrive at the gate. After we got out of the plane we had to wait for another hour for the luggage to start coming through the carrousel. And after all of that our luggage was missing and no one on site to help us or to inform us.
Not Verified ,,Couple Leisure,Economy Class,Orlando to Cancun,March 2022,1.0,1.0,1.0,1.0,1.0,1.0,1,no,1,"  We got to the airport 3 hours early. The Frontier check in line was unfathomably long and slow. Once we were checked in we were met with and even longer TSA line. One of the TSA check points broke down which compounded the issue. We were 2 min late to the doors closing. They would not let us on the flight however they did take the time to stop the plane to remove our luggage and the luggage of the several other passengers who missed the flight. We were told we had to go back to the Frontier baggage claim, collect our bag, and re book our flight at the Frontier counter outside of security. We rebooked the flight (80 dollar for rebooking) and were then told we could not check in until 3 hour prior to the flight.  Never again."
Not Verified ,,Family Leisure,Economy Class,Orlando to Milwaukee ,June 2021,2.0,2.0,2.0,2.0,1.0,1.0,1,no,1,"  It has been over 6 months and I still have not received my check for the loss of my bag when I didn't even leave the airport as our flight was canceled! This has been the worst travel experience I have ever had and I will make sure everyone knows how awful Frontier is to work with. Your customer service is atrocious! When the flight was canceled, we were handed a piece of paper and told the next flight wasn't until Friday and it was Wednesday! Then my luggage was lost and when I submitted the paperwork for the flight we had to book, we were not reimbursed the amount promised nor were we reimbursed for an extra night of hotel stay. I asked for an itemized list of how they depreciated my items in my bag and I was never given that either. What a truly awful experience!"
✅ Trip Verified ,,Family Leisure,Economy Class,Tampa to Albany,February 2022,1.0,5.0,,,,1.0,1,no,1," Absolutely awful experience. Booked months in advance, flight way oversold. Didn’t get a seat and the next flight is two days later. They informed me that there is nobody in the airport that can help me."
✅ Trip Verified ,,Couple Leisure,Economy Class,Las Vegas to Oklahoma City,February 2022,2.0,1.0,3.0,,,1.0,2,no,2," Absolutely terrible. We flew in from OKC to Las Vegas Nevada and the flight attendants were snarky. On the day of our returning flight 30 minutes before the time of boarding our flight was canceled. No one would take the time to tell us where we should go or what we should do, so we were left scrambling. When we finally did convince someone to tell us what the hell was going on we were informed that the only available flight was in three days. We did not get put in a hotel, we did not get offered another flight. When I book a flight on a specific day I expect to be home on that day. Will not be flying Frontier again."
✅ Trip Verified ,,Family Leisure,Economy Class,Cancun to Orlando ,February 2022,2.0,2.0,1.0,,,1.0,2,no,1,"  My 2 daughters and I had a direct flight booked from Cancun to Boston on 2/25. They canceled the flight due to ""operational issues"" but then told us it was due to weather. They said they could not book us on a flight until 3/1, four days later. The best they could do was fly us to Orlando with an eleven hour layover (which turned out to be 12 due to delays) and then the closest they could get us to Boston was Trenton, NJ. We would then have to figure out our own way home. The hotel we were staying in Mexico was booked, so we had to move to another hotel, wait 12 hrs for the next flight which got me and my kids into NJ at 1.30am, book another hotel there and then rent a car and drive six hours home. When I called and asked about any type of compensation, they said, ""Sorry, fill out a form online."" When I insisted on speaking with a supervisor, all he said he could do was give me a $25 voucher for a future flight. How can an airline leave people stranded like this without some sort of compensation? The flight attendants were not friendly, the people at the counters were unhelpful and I am sad to say this experience ruined our whole trip."
